frequency,left_tail_multiplier,log_scale,perc_c_1,perc_c_2,perc_c_3,perc_c_4,perc_c_5,perc_p_1,perc_p_2,perc_p_3,perc_p_4,perc_p_5,perc_s_1,perc_s_2,perc_s_3,perc_s_4,perc_s_5,perc_s_6,right_tail_multiplier
365,0.6,False,100.0,100.0,78.26086956521739,95.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,0.0,0,0.0,0.0,22.727272727272727,0.9
365,0.9,True,100.0,100.0,30.434782608695652,10.0,56.52173913043478,100.0,100.0,100.0,0,100.0,0.0,100.0,0,0.0,0.0,4.545454545454546,0.0
365,0.9,True,100.0,100.0,34.78260869565217,20.0,69.56521739130434,100.0,100.0,100.0,0,100.0,0.0,100.0,0,0.0,0.0,4.545454545454546,0.1
365,0.9,True,100.0,100.0,43.47826086956522,45.0,73.91304347826087,100.0,100.0,100.0,0,100.0,0.0,100.0,0,0.0,0.0,4.545454545454546,0.3
365,0.9,True,100.0,100.0,47.82608695652174,75.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,75.0,0,0.0,0.0,4.545454545454546,0.6
365,0.9,True,100.0,100.0,78.26086956521739,95.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.9
365,0.9,False,100.0,100.0,30.434782608695652,10.0,56.52173913043478,100.0,100.0,100.0,0,100.0,0.0,100.0,0,0.0,0.0,4.545454545454546,0.0
365,0.9,False,100.0,100.0,34.78260869565217,20.0,69.56521739130434,100.0,100.0,100.0,0,100.0,0.0,100.0,0,0.0,0.0,4.545454545454546,0.1
365,0.9,False,100.0,100.0,43.47826086956522,45.0,73.91304347826087,100.0,100.0,100.0,0,100.0,0.0,100.0,0,0.0,0.0,4.545454545454546,0.3
365,0.9,False,100.0,100.0,47.82608695652174,75.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,75.0,0,0.0,0.0,4.545454545454546,0.6
365,0.9,False,100.0,100.0,78.26086956521739,95.0,78.26086956521739,100.0,100.0,100.0,0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.9
