index,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,label,residuals,seasonal,trend
446,1952-10-14,24.48,24.48,24.48,24.48,24.48,1130000,1952-10-14,standard,0.9976585632259297,1.0053571356688553,3.188281552363556
447,1952-10-15,24.059999,24.059999,24.059999,24.059999,24.059999,1730000,1952-10-15,standard,0.9922128311346634,1.005324460930208,3.188535304749979
448,1952-10-16,23.91,23.91,23.91,23.91,23.91,1730000,1952-10-16,standard,0.9899623592197745,1.0055482450622462,3.188790109973101
449,1952-10-17,24.200001,24.200001,24.200001,24.200001,24.200001,1360000,1952-10-17,standard,0.9932420650640394,1.005955910067922,3.189038720544992
450,1952-10-20,24.129999,24.129999,24.129999,24.129999,24.129999,1050000,1952-10-20,standard,0.9920233363331584,1.0062006598496944,3.189277751176184
451,1952-10-21,24.07,24.07,24.07,24.07,24.07,990000,1952-10-21,standard,0.9910251103757599,1.0063505470183796,3.1895184289656844
452,1952-10-22,23.799999,23.799999,23.799999,23.799999,23.799999,1160000,1952-10-22,standard,0.9887421667476328,1.0050167737088587,3.189773255498396
453,1952-10-23,23.870001,23.870001,23.870001,23.870001,23.870001,1260000,1952-10-23,standard,0.9894733100851973,1.0051223364793829,3.1900345671607226
454,1952-10-24,24.030001,24.030001,24.030001,24.030001,24.030001,1060000,1952-10-24,standard,0.9919515729586348,1.0046376294298447,3.190303651506123
455,1952-10-27,24.09,24.09,24.09,24.09,24.09,1000000,1952-10-27,standard,0.99296619962428,1.0043085529551774,3.190588652510907
456,1952-10-28,24.129999,24.129999,24.129999,24.129999,24.129999,1080000,1952-10-28,standard,0.9941703880831151,1.0035201087797136,3.190890690100854
457,1952-10-29,24.15,24.15,24.15,24.15,24.15,1020000,1952-10-29,standard,0.9951630738078164,1.0026772090430898,3.1912178325337863
458,1952-10-30,24.15,24.15,24.15,24.15,24.15,1090000,1952-10-30,standard,0.9943828655153711,1.0033569539275173,3.191558059062775
459,1952-10-31,24.52,24.52,24.52,24.52,24.52,1760000,1952-10-31,standard,0.9985571937482152,1.0038294306766156,3.1918889066321463
460,1952-11-03,24.6,24.6,24.6,24.6,24.6,1670000,1952-11-03,standard,0.9989634077504915,1.0043378352577896,3.1922224947869604
461,1952-11-05,24.67,24.67,24.67,24.67,24.67,2030000,1952-11-05,standard,0.9999511916120395,1.0041270314047726,3.192568567019554
462,1952-11-06,24.77,24.77,24.77,24.77,24.77,1390000,1952-11-06,standard,1.0012228426514964,1.0040058179516138,3.192922892877469
463,1952-11-07,24.780001,24.780001,24.780001,24.780001,24.780001,1540000,1952-11-07,standard,1.0014265515992002,1.0038118546507475,3.193291792367503
464,1952-11-10,24.77,24.77,24.77,24.77,24.77,1360000,1952-11-10,standard,1.0008981709778162,1.0040968722680812,3.1936689771299682
465,1952-11-12,24.65,24.65,24.65,24.65,24.65,1490000,1952-11-12,standard,0.99935501974947,1.0040067732845288,3.194047428437186
466,1952-11-13,24.709999,24.709999,24.709999,24.709999,24.709999,1330000,1952-11-13,standard,1.000354037081155,1.003644058402143,3.194432213288838
467,1952-11-14,24.75,24.75,24.75,24.75,24.75,1700000,1952-11-14,standard,1.001153884525407,1.0032265556825928,3.194818881386526
468,1952-11-17,24.799999,24.799999,24.799999,24.799999,24.799999,1490000,1952-11-17,standard,1.0017918169279176,1.0030997529741024,3.1951963398740983
469,1952-11-18,25.16,25.16,25.16,25.16,25.16,2250000,1952-11-18,standard,1.0057005347137895,1.0035686403104982,3.1955701250528787
470,1952-11-19,25.33,25.33,25.33,25.33,25.33,2350000,1952-11-19,standard,1.0075320455252488,1.0037150517838427,3.1959548201426298
471,1952-11-20,25.280001,25.280001,25.280001,25.280001,25.280001,1740000,1952-11-20,standard,1.0075953044340564,1.0029144931102876,3.1963498630157314
472,1952-11-21,25.27,25.27,25.27,25.27,25.27,1760000,1952-11-21,standard,1.0074592980721255,1.002802767933299,3.196745870922555
473,1952-11-24,25.42,25.42,25.42,25.42,25.42,2100000,1952-11-24,standard,1.0084169210960845,1.003563547070771,3.1971371704314113
474,1952-11-25,25.360001,25.360001,25.360001,25.360001,25.360001,1930000,1952-11-25,standard,1.0071912401698924,1.0039293947387475,3.197524315326799
475,1952-11-26,25.52,25.52,25.52,25.52,25.52,1920000,1952-11-26,standard,1.0079714223764078,1.0049817788007254,3.1979122625394187
476,1952-11-28,25.66,25.66,25.66,25.66,25.66,2160000,1952-11-28,standard,1.0091812130535358,1.0053500411860117,3.198300935046083
477,1952-12-01,25.68,25.68,25.68,25.68,25.68,2100000,1952-12-01,standard,1.0096155048124476,1.005035534629564,3.1986934172032324
478,1952-12-02,25.74,25.74,25.74,25.74,25.74,1610000,1952-12-02,standard,1.0111820503430493,1.004077904579834,3.1990824718222814
479,1952-12-03,25.709999,25.709999,25.709999,25.709999,25.709999,1610000,1952-12-03,standard,1.011144176290323,1.0036373852512352,3.199457315058472
